exchange,stock_symbol,date,stock_price_close,stock_gain_loss_dollar,stock_gain_loss_percent,dollar_volume,stock_volume
NASDAQ,AACC,18/02/2009,3.8,-0.38,-0.090909091,120080,31600
NASDAQ,AACC,19/02/2009,3.81,0.01,0.002631579,451866,118600
NASDAQ,AACC,20/02/2009,3.8,-0.01,-0.002624672,175180,46100
NASDAQ,AACC,23/02/2009,3.45,-0.35,-0.092105263,128340,37200
NASDAQ,AACC,24/02/2009,3.58,0.13,0.037681159,381270,106500
NASDAQ,AACC,25/02/2009,3.57,-0.01,-0.002793296,240261,67300
NASDAQ,AACC,26/02/2009,3.39,-0.18,-0.050420168,491889,145100
NASDAQ,AACC,27/02/2009,3.35,-0.04,-0.01179941,388600,116000
NASDAQ,AACC,02/03/2009,3.29,-0.06,-0.017910448,202993,61700
NASDAQ,AACC,03/03/2009,3.3,0.01,0.003039514,240570,72900
NASDAQ,AACC,04/03/2009,3.33,0.03,0.009090909,159507,47900
NASDAQ,AACC,05/03/2009,3.3,-0.03,-0.009009009,233970,70900
NASDAQ,AACC,06/03/2009,3.4,0.1,0.03030303,261460,76900
NASDAQ,AACC,09/03/2009,3.4,0,0,89760,26400
NASDAQ,AACC,10/03/2009,3.87,0.47,0.138235294,176859,45700
NASDAQ,AACC,11/03/2009,4.13,0.26,0.067183463,231693,56100
NASDAQ,AACC,12/03/2009,5.12,0.99,0.239709443,409600,80000
NASDAQ,AACC,13/03/2009,4.85,-0.27,-0.052734375,423405,87300
NASDAQ,AACC,16/03/2009,4.91,0.06,0.012371134,179706,36600
NASDAQ,AACC,17/03/2009,5.19,0.28,0.057026477,178536,34400
NASDAQ,AACC,18/03/2009,5.35,0.16,0.030828516,460100,86000
NASDAQ,AACC,19/03/2009,5.2,-0.15,-0.028037383,90480,17400
NASDAQ,AACC,20/03/2009,5.11,-0.09,-0.017307692,397558,77800
NASDAQ,AACC,23/03/2009,6,0.89,0.174168297,544800,90800
NASDAQ,AACC,24/03/2009,5.69,-0.31,-0.051666667,390334,68600
NASDAQ,AACC,25/03/2009,6.3,0.61,0.107205624,287910,45700
NASDAQ,AACC,26/03/2009,6.25,-0.05,-0.007936508,469375,75100
NASDAQ,AACC,27/03/2009,5.62,-0.63,-0.1008,181526,32300
NASDAQ,AACC,30/03/2009,5.52,-0.1,-0.017793594,177192,32100
NASDAQ,AACC,31/03/2009,5.31,-0.21,-0.038043478,303732,57200
NASDAQ,AACC,01/04/2009,5.8,0.49,0.092278719,313200,54000
NASDAQ,AACC,02/04/2009,5.95,0.15,0.025862069,405195,68100
NASDAQ,AACC,03/04/2009,6.17,0.22,0.03697479,1260531,204300
NASDAQ,AACC,06/04/2009,6.15,-0.02,-0.003241491,188190,30600
NASDAQ,AACC,07/04/2009,6.01,-0.14,-0.022764228,109382,18200
NASDAQ,AACC,08/04/2009,6.49,0.48,0.079866889,320606,49400
NASDAQ,AACC,09/04/2009,7.27,0.78,0.1201849,516897,71100
NASDAQ,AACC,13/04/2009,6.81,-0.46,-0.063273728,319389,46900
